,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,Emmanuel Macron,@EmmanuelMacron,2021-01-23T16:30:17.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Jan 23
Officiel du gouvernement - France","À vous qui vous êtes libérés d’un fardeau que vous avez trop longtemps porté, à vous qui allez le faire et parfois hésitez, je veux juste vous dire : on est là. On vous écoute. On vous croit. Et vous ne serez plus jamais seuls.
366
540
2.1K",,366,540,2.1K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1353017220721500160
1,Emmanuel Macron,@EmmanuelMacron,2021-01-23T16:30:17.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Jan 23
Officiel du gouvernement - France","Nous ne laisserons aucun répit aux agresseurs, aucun.
664
1.2K
2.5K",,664,1.2K,2.5K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1353017219077304320
2,Emmanuel Macron,@EmmanuelMacron,2021-01-23T16:30:17.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Jan 23
Officiel du gouvernement - France","Il nous faut adapter notre droit pour mieux protéger les enfants victimes d'inceste et de violences sexuelles. C’est un sujet complexe. J’ai demandé à 
@E_DupondM
 et à 
@AdrienTaquet
 de mener une consultation qui devra déboucher rapidement sur des propositions.
135
270
909",,135,270,909,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1353017217277960203
3,Emmanuel Macron,@EmmanuelMacron,2021-01-23T16:30:16.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Jan 23
Officiel du gouvernement - France","Il nous faut recueillir les témoignages et protéger les victimes. Ce sera la mission de l'initiative que nous lançons sur les violences sexuelles commises pendant l’enfance, avec Édouard Durand, juge des enfants, et Nathalie Mathieu, directrice d’une association spécialisée.
55
164
639",,55,164,639,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1353017215579287552
4,Emmanuel Macron,@EmmanuelMacron,2021-01-23T16:30:16.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Jan 23
Officiel du gouvernement - France","Il nous faut accompagner la reconstruction. Les soins psychologiques des enfants victimes de violences sexuelles seront remboursés.
64
234
791",,64,234,791,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1353017213968650244
5,Emmanuel Macron,@EmmanuelMacron,2021-01-23T16:30:15.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Jan 23
Officiel du gouvernement - France","Il nous faut tendre la main, recueillir la parole. Deux rendez-vous de dépistage et de prévention contre les violences sexuelles faites aux enfants - l’un au primaire, l’autre au collège - seront mis en place pour tous, dans le cycle de visites médicales obligatoires existantes.
62
242
777",,62,242,777,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1353017212307709959
6,Emmanuel Macron,@EmmanuelMacron,2021-01-23T16:30:15.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Jan 23
Officiel du gouvernement - France","Nous avons allongé le délai de prescription à 30 ans à compter de la majorité. Nous avons durci les contrôles pour les professionnels au contact des enfants. Beaucoup a été fait. Il nous faut faire plus.
76
241
811",,76,241,811,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1353017210353176578
7,Emmanuel Macron,@EmmanuelMacron,2021-01-23T16:30:14.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Jan 23
Officiel du gouvernement - France","Ces témoignages, ces paroles, ces cris, plus personne ne peut les ignorer. Contre les violences sexuelles faites à nos enfants, c’est aujourd’hui à nous d’agir :
Emmanuel Macron
@EmmanuelMacron
Officiel du gouvernement - France
 · Jan 23
Des vies brisées dans le sanctuaire d'une chambre d’enfant. Des enfances volées lors de vacances en famille, ou de moments qui auraient dû être innocents et ont conduit au pire. Aujourd’hui, la parole se libère. Grâce au courage.
874
1.1K
4.8K",,874,1.1K,4.8K,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/profile_images/1308812357502668812/jSVlszOa_mini.jpg', 'https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/EsbMo2yXMAAHXRx.jpg']",https://twitter.com/EmmanuelMacron/status/1353017208209866754
8,Emmanuel Macron,@EmmanuelMacron,2021-01-23T16:15:00.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Jan 23
Officiel du gouvernement - France","Des vies brisées dans le sanctuaire d'une chambre d’enfant. Des enfances volées lors de vacances en famille, ou de moments qui auraient dû être innocents et ont conduit au pire. Aujourd’hui, la parole se libère. Grâce au courage.
2:12
774.1K views
1.3K
2.4K
8.5K",,1.3K,2.4K,8.5K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1353013372065873921
9,Emmanuel Macron,@EmmanuelMacron,2021-01-23T16:15:00.000Z,"Emmanuel Macron
@EmmanuelMacron
·
Jan 23
Officiel du gouvernement - France","Des vies brisées dans le sanctuaire d'une chambre d’enfant. Des enfances volées lors de vacances en famille, ou de moments qui auraient dû être innocents et ont conduit au pire. Aujourd’hui, la parole se libère. Grâce au courage.
2:09
774.1K views
1.3K
2.4K
8.5K",,1.3K,2.4K,8.5K,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmmanuelMacron/status/1353013372065873921
